,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1988-10-10,0.029411764705882432,-0.9001923204456529,-0.001352335379174047,-0.7832916155694055,0.028387787895018685,-0.767746117099167,0.18328608406261554,-0.787118174167038,0.018750000000000044,-0.03749999999999998,0.14375000000000004,-0.06562500000000004,MOS,20.0,86000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
1988-10-11,0.01684881602914387,-0.7524412773818949,-0.0035401915868387935,-0.8633977266935114,0.022654413336182934,-0.8542430853088874,0.176325978735173,-0.8527593879625306,0.040752351097178785,-0.047021943573667735,0.09717868338557989,-0.07210031347962387,MOS,19.9375,53600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
1988-10-12,-0.0009062075215224029,-0.49941543257989085,-0.014701282452298995,-0.8121609171870202,0.007713361532719537,-0.798629485569361,0.15879828326180265,-0.7867188408043082,0.050793650793650835,-0.00952380952380949,0.12063492063492065,-0.07619047619047614,MOS,19.6875,73400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
1988-10-13,-0.00360360360360368,0.06685633001422475,-0.010438413361169043,-0.6178473767345483,0.008796821793416496,-0.583346193018734,0.15975124885309408,-0.5493721251610577,0.03797468354430378,-0.006329113924050667,0.110759493670886,-0.07594936708860756,MOS,19.75,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
1988-10-14,0.010309278350515438,0.9680232558139535,0.008035062089116132,-0.3212352115500301,0.025913338997451123,-0.24857095288306788,0.1787435683634663,-0.17175005692264297,0.01863354037267073,-0.018633540372670843,0.07763975155279512,-0.10248447204968947,MOS,20.125,270800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
1988-10-17,-0.0022411474675033873,0.7506342877854294,-0.0036553524804178138,-0.3188324722761526,0.011557629095535973,-0.2343258738672092,0.16112542345375994,-0.15278227800610522,0.05031446540880502,0.0062893081761006275,0.07232704402515733,-0.10691823899371067,MOS,19.875,276000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
1988-10-18,0.012539184952978056,0.7253602782839158,0.012433392539964392,-0.27379209370424595,0.02565007232826449,-0.17717824732576792,0.17625637290604507,-0.08367801463569843,0.02786377708978338,0.006191950464396356,0.05572755417956654,-0.11145510835913308,MOS,20.1875,297600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
1988-10-19,0.01920500223313987,0.32653946227233294,0.022050370989654178,-0.3587674247982392,0.03331689793618373,-0.27958236658932717,0.18401937046004851,-0.17830542468844346,0.030674846625766916,-0.006134969325153339,0.07055214723926384,-0.11349693251533743,MOS,20.375,262200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
1988-10-20,0.03197158081705148,0.11132194813409228,0.040969899665551826,-0.3844216997482097,0.051002462187829674,-0.29946971811331285,0.20253546634470276,-0.212348588921974,0.012048192771084265,-0.015060240963855387,0.07228915662650603,-0.12951807228915657,MOS,20.75,251000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
1988-10-21,0.021604938271604937,-0.8518374237112063,0.03837707832270213,-0.9189148855025121,0.04713698196773165,-0.9073225894081154,0.19571325359235783,-0.8970334834197237,0.009063444108761365,-0.015105740181268867,0.08761329305135956,-0.12990936555891242,MOS,20.6875,32600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
1988-10-24,0.007017543859649098,1.1333266653330667,0.02918104800753063,0.4658199836436234,0.036844508447191913,0.7267804294439896,0.18165078856776878,0.9091678066813562,0.009146341463414531,-0.0060975609756097615,0.09451219512195119,-0.11890243902439024,MOS,20.5,609400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
1988-10-25,0.004374453193350881,-0.5534495830174374,0.029827315541601257,-0.7157655991120692,0.03575313146907117,-0.6659735349716446,0.17839607201309332,-0.6306965629909329,-0.021341463414634165,0.012195121951219523,0.10365853658536595,-0.12804878048780488,MOS,20.5,117800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
1988-10-26,0.015638575152041777,0.6515859116559642,0.049434436531210775,0.1688436882440835,0.053553904388055455,0.3666420368445441,0.1966560509554141,0.5197198005737683,-0.041916167664670656,-0.014970059880239472,0.06886227544910173,-0.13772455089820357,MOS,20.875,485000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
1988-10-27,0.00562527044569443,-0.6189759036144579,0.0440251572327044,-0.754991364978937,0.046584938704028,-0.7109470704352296,0.18632627942986463,-0.6807682871262837,-0.051204819277108404,0.012048192771084265,0.06024096385542177,-0.14457831325301207,MOS,20.75,101200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
1988-10-28,0.013356311934511035,-0.5952802359882006,0.05660377358490566,-0.7594973986453323,0.05874938729780828,-0.713961407491487,0.1974814873480378,-0.6901860639930871,-0.05654761904761907,-0.005952380952380931,0.011904761904761862,-0.15476190476190477,MOS,21.0,98000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
1988-10-31,0.011612903225806378,-0.5457842248413418,0.05593966059082342,-0.754447875312454,0.058638193593558464,-0.7005419334271976,0.19454868654947663,-0.6790724489142271,-0.059523809523809534,-0.011904761904761862,-0.023809523809523836,-0.16666666666666663,MOS,21.0,100200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.239999771118164,43.9375,32.04999923706055,75.73999786376953,19100.0,8.96,8.79,8.96,8.67
