Date,Open,High,Low,Close,Adj Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook
1995-10-03,18.75,19.875,18.5,19.625,12.607254028320312,10364800.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1995-10-04,19.5,19.625,18.75,18.75,12.04514980316162,1810800.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1995-10-05,19.125,19.5,19.0,19.375,12.446659088134766,1216500.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1995-10-06,19.625,19.875,19.375,19.875,12.767854690551758,1538100.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1995-10-09,19.875,19.875,19.375,19.375,12.446659088134766,869200.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1995-10-10,19.375,19.5,19.0,19.25,12.36634922027588,840800.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1995-10-11,19.375,19.5,19.25,19.375,12.446659088134766,630400.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1995-10-12,19.375,19.5,19.125,19.375,12.446659088134766,519700.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1995-10-13,19.5,20.0,19.5,20.0,12.848154067993164,557300.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1995-10-16,20.125,20.125,19.625,19.75,12.68755340576172,188700.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1995-10-17,19.75,19.875,19.625,19.75,12.68755340576172,244600.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1995-10-18,19.625,19.75,19.5,19.625,12.607254028320312,152500.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1995-10-19,19.5,19.625,19.5,19.625,12.607254028320312,180400.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
