,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
1992-08-10,-0.014084568337725919,-0.773067331670823,0.006228974703040828,-0.9322485378423765,0.04206864792543205,-0.8583820859390761,0.09794347814898148,-0.8901322482197355,0.009523855455881192,0.033333453223825416,0.25238106604336696,0.31428584040428387,KIM,5.8333330154418945,17550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.510000228881836,43.9375,32.04999923706055,75.73999786376953,19100.0,6.42,5.38,6.42,3.89
1992-08-11,-0.00943400733366559,0.6305007587253413,0.005426047330065717,-0.4676300578034682,0.040748847427603714,0.11303577183370932,0.09635124043221889,0.11171464783632085,0.004761968599699129,0.038095340080007256,0.2666667266119127,0.3238095323731305,KIM,5.8333330154418945,138150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.09000015258789,43.9375,32.04999923706055,75.73999786376953,19100.0,6.42,5.38,6.42,3.89
1992-08-12,-0.004739365025363769,-0.8729582577132486,0.004304100461852545,-0.9644949405290254,0.03943238580774878,-0.9275333145456741,0.09476361415446662,-0.9246798895305046,0.009523855455881192,0.033333453223825416,0.27142869521161184,0.31428584040428387,KIM,5.8333330154418945,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.880000114440918,43.9375,32.04999923706055,75.73999786376953,19100.0,6.42,5.38,6.42,3.89
1992-08-13,0.006784269696472211,-0.08928571428571429,0.012416413247529814,-0.6031471554556459,0.04783348587272674,-0.44672131147540983,0.10352804449844955,-0.42120970114749273,-0.009434007333665617,0.018867933694982852,0.2452829760900801,0.3113207035363459,KIM,5.888888835906982,68850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.34000015258789,43.9375,32.04999923706055,75.73999786376953,19100.0,6.42,5.38,6.42,3.89
1992-08-14,0.002715571148525851,-0.8681732580037664,0.006359303470731077,-0.9344763568854428,0.041232607456572985,-0.9273724983860555,0.09670527712443529,-0.9240410178503609,-0.009478636741831248,0.014217955112747038,0.2464455315608387,0.3364928246765424,KIM,5.861111164093018,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.65999984741211,43.9375,32.04999923706055,75.73999786376953,19100.0,6.42,5.38,6.42,3.89
1992-08-17,0.0013559619731520639,-0.45689655172413796,0.005080980477228151,-0.813213420961605,0.039465777689058894,-0.8031751174469464,0.09509256788547445,-0.7936787586763177,-0.004739399727017757,0.023696673210680252,0.2464455315608387,0.3744076970682759,KIM,5.861111164093018,24300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.609999656677246,43.9375,32.04999923706055,75.73999786376953,19100.0,6.42,5.38,6.42,3.89
1992-08-18,0.0013559619731520639,-0.8049180327868852,0.0038059009308391485,-0.937099161322151,0.037591535379142206,-0.9374667920055585,0.09345311365486736,-0.9337576308611508,-0.004739399727017757,0.03317539130861369,0.24170621318992302,0.3649288976142404,KIM,5.861111164093018,7650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.84000015258789,43.9375,32.04999923706055,75.73999786376953,19100.0,6.42,5.38,6.42,3.89
1992-08-19,0.0047393417256803285,-0.06525037936267078,0.007125874374818199,-0.6612344411651482,0.040632665699276774,-0.6722939424031777,0.09696150222870467,-0.6551874265314119,-0.014150889541975853,0.02830194102864847,0.23113208654810435,0.3490565709263116,KIM,5.888888835906982,39600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.350000381469728,43.9375,32.04999923706055,75.73999786376953,19100.0,6.42,5.38,6.42,3.89
1992-08-20,-0.0006765757945377584,-0.5531914893617021,0.0014238253312021055,-0.8988621997471555,0.03403214158103263,-0.9088761390482619,0.09015759563475756,-0.9051404229156145,-0.004739399727017757,0.03791462832342729,0.2369668134629055,0.36018949788722265,KIM,5.861111164093018,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.479999542236328,43.9375,32.04999923706055,75.73999786376953,19100.0,6.42,5.38,6.42,3.89
1992-08-21,0.0027026923892270005,1.8327759197324414,0.005374626488957146,0.0973397823458283,0.037351163003222436,-0.08058592595719533,0.0936604322680461,-0.04046522897988854,-0.009434007333665617,0.033018823236958594,0.22641504239509724,0.3632075414406357,KIM,5.888888835906982,108900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.010000228881836,43.9375,32.04999923706055,75.73999786376953,19100.0,6.42,5.38,6.42,3.89
1992-08-24,-0.005412768958419555,-0.7424242424242424,-0.004110085110420979,-0.9138367967562088,0.026225721077823935,-0.9348492590700052,0.08173071470942934,-0.9317162430544708,0.0,0.04285714519267203,0.24285721058748577,0.3666666775658023,KIM,5.8333330154418945,7650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.190000534057617,43.9375,32.04999923706055,75.73999786376953,19100.0,6.42,5.38,6.42,3.89
1992-08-25,-0.008807542847423954,0.5238938053097345,-0.00869561889774345,-0.2698852394143253,0.020065129853593957,-0.5308725685468492,0.0750107689124953,-0.5059689835992414,0.014354011574247316,0.05741621056624191,0.2631577823420903,0.37320561508445116,KIM,5.805555820465088,55350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.619999885559082,43.9375,32.04999923706055,75.73999786376953,19100.0,6.42,5.38,6.42,3.89
1992-08-26,-0.003389875798279258,-0.8393881453154876,-0.004110085110420979,-0.927536231884058,0.023724358398932298,-0.9542042997074164,0.07855160476772184,-0.9513863881886928,0.004761968599699129,0.052381000648553,0.2571428711560315,0.3857143067340474,KIM,5.8333330154418945,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,43.9375,32.04999923706055,75.73999786376953,19100.0,6.42,5.38,6.42,3.89
1992-08-27,-0.0027137404872634627,-0.3590664272890484,-0.004267484986331083,-0.6814490943160525,0.022561224709749222,-0.8055579090061848,0.07695370530042005,-0.7904587993608765,0.01428582405558032,0.05714296924825235,0.25238106604336696,0.3809525833648999,KIM,5.8333330154418945,22950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.65999984741211,43.9375,32.04999923706055,75.73999786376953,19100.0,6.42,5.38,6.42,3.89
1992-08-28,-0.00543842152752716,1.1145833333333333,-0.009165572714218148,0.2880710659898477,0.01664690344922656,-0.23138409760201936,0.07027032334664032,-0.16672367790928372,0.014354011574247316,0.07177022214048923,0.2535885234272184,0.38277503826857573,KIM,5.805555820465088,91350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.140000343322754,43.9375,32.04999923706055,75.73999786376953,19100.0,6.42,5.38,6.42,3.89
