,Close_diff_MA_7,Volume_diff_MA_7,Close_diff_MA_30,Volume_diff_MA_30,Close_diff_MA_90,Volume_diff_MA_90,Close_diff_MA_180,Volume_diff_MA_180,price_change_term_7,price_change_term_30,price_change_term_120,price_change_term_240,Symbol,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,Margin_Gross,Margin_Operating,Margin_Net_Profit,insider_acquisition,insider_disposal,mean_sentiment,mean_outlook,^VIX,SPY,CL=F,BZ=F,BTC=F,10year,5year,3year,2year
2002-08-30,-0.010784595424953414,-0.27685454856947067,0.028151867774806907,-0.3903754128193031,0.020260419756368445,-0.5660170650374647,0.11855843456146718,-0.5555500958183873,-0.10526342112693088,0.005262883340727997,-0.10451138090052303,0.5169170868121378,CNC,2.2166669368743896,723600.0,0.04,0.03,0.01,33.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.63999938964844,91.77999877929688,28.979999542236328,75.73999786376953,19100.0,3.87,2.94,3.87,2.0
2002-09-01,-0.010784595424953414,-0.27685454856947067,0.028151867774806907,-0.3903754128193031,0.020260419756368445,-0.5660170650374647,0.11855843456146718,-0.5555500958183873,-0.10526342112693088,0.005262883340727997,-0.10451138090052303,0.5169170868121378,CNC,2.2166669368743896,723600.0,0.04,0.03,0.01,33.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.63999938964844,91.77999877929688,28.979999542236328,75.73999786376953,19100.0,3.87,2.94,3.87,2.0
2002-09-03,-0.04485685283589047,-0.4855813953488372,-0.020088726582396764,-0.6537998027973561,-0.023266944513592156,-0.7728924273519289,0.06730668821157541,-0.7120728929384966,-0.06803006064849915,0.18010186499732073,-0.027133360207217683,0.5896576122377504,CNC,2.1191670894622803,379200.0,0.04,0.03,0.01,33.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.970001220703125,88.27999877929688,27.790000915527344,75.73999786376953,19100.0,3.87,2.94,3.87,2.0
2002-09-04,-0.07889718378884863,0.7359763812737242,-0.07113004276458482,0.2704814721451979,-0.07110222813315761,-0.1588517659026608,0.011826776922111247,0.11820731842601544,-0.026915294886161623,0.22111797401196087,0.014078483484908366,0.6832297974763053,CNC,2.012500047683716,1411200.0,0.04,0.03,0.01,33.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.439998626708984,89.54000091552734,28.270000457763672,75.73999786376953,19100.0,3.87,2.94,3.87,2.0
2002-09-05,-0.061231238282778176,0.01017576318223869,-0.0701549622723494,-0.31713722915298753,-0.06882206265583136,-0.5555485208692762,0.011388742971161303,-0.4040209484089715,-0.06947895663302339,0.20264655257993147,0.0053760724546332295,0.7059552461727905,CNC,2.015000104904175,748800.0,0.04,0.03,0.01,33.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.86000061035156,88.77999877929688,28.979999542236328,75.73999786376953,19100.0,3.87,2.94,3.87,2.0
2002-09-06,-0.055854219257057205,0.27375461254612554,-0.07188723541763825,-0.10994961269459276,-0.0712314697541345,-0.4393121091529278,0.0064426230857346075,-0.23753382296095865,-0.059751050595122535,0.18672202569009122,0.05809147891051758,0.6973032420144503,CNC,2.0083329677581787,946800.0,0.04,0.03,0.01,33.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.33000183105469,90.0,29.61000061035156,75.73999786376953,19100.0,3.87,2.94,3.87,2.0
2002-09-09,-0.04365097083639627,-0.27793696275071633,-0.07114796496966808,-0.5002506458951914,-0.07129907062735161,-0.6932955737691986,0.005651677341601167,-0.5771660993355157,0.004149671178180103,0.18879692063651476,0.04896303332118879,0.7047720565618405,CNC,2.0083329677581787,518400.0,0.04,0.03,0.01,33.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.45000076293945,90.66000366210938,29.729999542236328,75.73999786376953,19100.0,3.87,2.94,3.87,2.0
2002-09-10,-0.025378047402171543,0.5644461962948363,-0.0726900926220864,0.308964986533282,-0.07387342195932617,-0.20139595298830965,0.0017601801220739775,0.12263025029836716,0.016645604871192043,0.18143968861403392,0.0449437760787057,0.7290886374173216,CNC,2.002500057220459,1360800.0,0.04,0.03,0.01,33.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.08000183105469,91.6999969482422,29.729999542236328,75.73999786376953,19100.0,3.87,2.94,3.87,2.0
2002-09-11,-0.01878805301552002,-0.23322047400916154,-0.08203821496501518,-0.35256032960565037,-0.08219158966595108,-0.614191516889838,-0.008723594046155114,-0.4489836810116437,0.029832119832644333,0.25000037565959055,0.06134473030436283,0.7117649912068607,CNC,1.9833329916000368,660000.0,0.04,0.03,0.01,33.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.810001373291016,91.12999725341795,29.770000457763672,75.73999786376953,19100.0,3.87,2.94,3.87,2.0
2002-09-12,-0.012852481589420126,0.7555732484076432,-0.08583625933765716,0.7900439460524322,-0.085777466705433,0.09339565881427316,-0.01374422699476952,0.5711942184486465,0.08016857823035584,0.2632910660455068,0.09789014046234246,0.72405059761276,CNC,1.975000023841858,1890000.0,0.04,0.03,0.01,33.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,89.44999694824219,28.850000381469727,75.73999786376953,19100.0,3.87,2.94,3.87,2.0
